clone.id	gene.name	unigene.id	genbank.acc
2307015	DEEPEST	Hs.16244	AI652290
809530	MCM2	Hs.57101	AA454572
768453		Hs.50740	AA495943
73852	WISP1	Hs.194680	T54850
712166	KIAA0855	Hs.182982	AA280248
204545	TEM8	Hs.8966	H58644
256680	BITE	Hs.42315	H96392
811956	RAN	Hs.10842	AA456636
770992	EZH2	Hs.77256	AA428252
346257	MCM4	Hs.154443	W74071
704410	DKFZp434J0310	Hs.278408	AA279657
366105	PPP1R10	Hs.106019	AA071526
205049	H11	Hs.111676	H57493
797042		Hs.200483	AA463220
295594		Hs.226414	N72576
868517		NA	NA
431001	LOC51004	Hs.12239	AA677920
1894782		Hs.150028	AI292036
785415		NA	NA
1587847	MCM6	Hs.155462	AA976533
753198		Hs.47378	AA406348
207869	UCP4	Hs.40510	H60279
1046542	MSH5	Hs.112193	AA621155
1475842	ROCK1	Hs.17820	AA872143
292568		NA	NA
1276380	KIAA0855	Hs.182982	AA694481
462861		NA	NA
281585	CDC27	Hs.172405	N47994
119609	DONSON	Hs.17834	AI732249
26249	SH3GL2	Hs.75149	R12817
785707	PRC1	Hs.5101	AA449336
746217		Hs.99807	AA417744
773373		Hs.80305	AA425722
418240		Hs.28893	W90240
587388		Hs.68864	AA132858
1459964	TUBA3	Hs.272897	AA864642
1854679		NA	NA
196475		Hs.302878	R92512
112906	PPP1R10	Hs.106019	T75485
143169	SFRS5	Hs.166975	R73672
950092	SFRS3	Hs.167460	AA598400
365641	PRIM1	Hs.82741	AA025937
234045	FLJ20333	Hs.79828	H66982
951287	HSPA8	Hs.180414	AA620511
868652	C4A	Hs.170250	AA664406
509943	DKC1	Hs.4747	AA052960
111571	HP1-BP74	Hs.142442	T84669
488422		NA	NA
430297	ETV4	Hs.77711	AA010400
323028		Hs.288261	W42414
866633	KIAA0952	Hs.7935	AA679150
301018	STK9	Hs.50905	N80713
491544		NA	NA
124138	NXF1	Hs.323502	R01238
785733	FLJ12892	Hs.17731	AA449357
49464	UNG	Hs.78853	H15111
746148	STK17B	Hs.120996	AA419485
292996	YWHAH	Hs.75544	N69107
1536236	FLJ13154	Hs.25303	AA923560
810979	LOC51116	Hs.20776	AA459419
288695	SSXT	Hs.153221	N59206
840471	KIAA0978	Hs.3686	AA485878
1838959		Hs.147907	AI223432
782259	FLJ23468	Hs.38178	AA431741
308633	FLJ10339	Hs.203963	N95450
359610	BMP2	Hs.73853	AA011061
220658		NA	NA
1839367	PIR51	Hs.24596	AI214426
377641		NA	NA
882355	FLJ20364	Hs.32471	AA676296
203275	EIF4A2	Hs.173912	H54751
730439		Hs.27769	AA469975
378433	FLJ11323	Hs.25625	AA775600
796767	DKFZP564D0764	Hs.26799	AA460732
809703	CTL2	Hs.105509	AA454710
878517		Hs.293419	AA775845
823696	IFIT1	Hs.20315	AA489640
51737	RBBP8	Hs.29287	H23021
25061		Hs.183475	R38944
270331		Hs.117305	N29457
292392	FLJ12888	Hs.284137	N68390
1735742		Hs.222088	AI139629
512116		Hs.241101	AA133590
1842170	H4FI	Hs.143080	AI218900
742792	SP38	Hs.99875	AA400474
221092	GABPB1	Hs.78915	H91651
366763	LCHN	Hs.12461	AA029330
259884	DKFZP564D0462	Hs.44197	N32904
810217	LENG8	Hs.306121	AA464698
897806	HIF1A	Hs.197540	AA598526
127646		Hs.93714	R09201
814769	FLJ23468	Hs.38178	AA454949
782774	DKFZP566C134	Hs.20237	AA448164
342082	PPP3CA	Hs.272458	W60310
204111	HMGE	Hs.151903	H55907
130242	CDK7	Hs.184298	R22624
625616	ABCC5	Hs.108660	AA186613
740851		NA	NA
275634		Hs.15607	R92899
280907	LOC57209	Hs.25275	N50827
180832	FLJ20101	Hs.263925	R87716
769942	KNSL4	Hs.119324	AA430503
809828	E2F5	Hs.2331	AA455521
79761	TMPO	Hs.11355	T63980
1673052	POLQ	Hs.241517	AI057325
194214	TGIF	Hs.90077	H51705
856427	TRIP13	Hs.6566	AA630784
796181	GAS6	Hs.78501	AA461110
471568	HN1	Hs.109706	AA035429
1015874	BARD1	Hs.54089	AA558464
768172	DHFR	Hs.83765	AA424790
824031		NA	NA
595606		Hs.130435	AA167114
884719	HSPA8	Hs.180414	AA629567
1422338	RRM2	Hs.75319	AA826373
204179	FLJ20036	Hs.32922	H59114
510381	COPEB	Hs.285313	AA055584
295710	FLJ10604	Hs.26516	N72697
251330		Hs.108824	H97880
361097	UBE2D3	Hs.118797	AA017199
429222	FLJ10890	Hs.17283	AA004210
915908		Hs.214410	AA579336
461759	OLR1	Hs.77729	AA682386
418380	FLJ13231	Hs.156148	W92787
328768		Hs.323101	W40398
289916		Hs.180591	N59330
269411		Hs.90424	N26163
562067		Hs.284123	AA211446
789357	NFKB1	Hs.83428	AA451716
854843	LOC58486	Hs.25726	AA630256
769003		Hs.296323	AA424756
1655729	KIAA0182	Hs.75909	AI023801
252491		NA	NA
1619759	RANGAP1	Hs.183800	AA991855
739511	PKMYT1	Hs.77783	AA478066
209383	HSPA8	Hs.180414	H64096
730633	LUC7A	Hs.3688	AA411969
856489	RRM1	Hs.2934	AA633549
731039	SET07	Hs.111988	AA421470
361639		Hs.193452	W96179
25058		Hs.179397	R38894
1070324		Hs.14014	AA780791
839579		Hs.105298	AA489813
240367	CTCF	Hs.57419	H89996
843319	HRB	Hs.171545	AA485958
813604		Hs.294083	AA447679
950450	KIAA0878	Hs.188006	AA599094
815255		Hs.180552	AA481283
773220	OGT	Hs.100293	AA425229
277187		Hs.20281	N40952
592699		Hs.72325	AA159962
754311	KIAA1265	Hs.24936	AA479302
205445	H1F0	Hs.226117	H57830
151240	ARGBP2	Hs.278626	H02525
504469	ODF2	Hs.129055	AA149882
321574		NA	NA
2309141	CD97	Hs.3107	AI651871
666038	BMI1	Hs.431	AA193573
626206	POLG	Hs.80961	AA188629
795185	XPR1	Hs.227656	AA453474
1575410		Hs.128096	AA971179
810787	DNAJB1	Hsp40)	homolog,
1703236	ARL4	Hs.201672	AI142552
898265	SFRS5	Hs.166975	AA598965
130004		Hs.25933	R11605
511633	RIG-I	Hs.145612	AA126958
1055762	FLJ10339	Hs.203963	AA628231
487797	DR1	Hs.16697	AA043503
436153		Hs.298998	AA703249
261393	HSPC163	Hs.108854	H98963
133456	DKFZP564A122	Hs.187991	R27345
71312	FLJ10128	Hs.49753	T47624
884462	DSCR1	Hs.184222	AA629707
824001	FLJ10342	Hs.101514	AA490935
132857		Hs.24064	R26176
204356		Hs.4983	H59921
241282		Hs.117949	H91167
453107	CDC45L	Hs.114311	AA700904
712840	STAT5B	Hs.244613	AA280647
809657		Hs.281434	AA454682
1851004	KIAA1524	Hs.151343	AI248987
811028	CTSD	Hs.79572	AA485373
461699		Hs.298998	AA682274
66555	GTPBP2	Hs.13011	T67069
843314	LOC51003	Hs.27289	AA485945
841203	VCL	Hs.75350	AA486727
488413	KIF5B	Hs.149436	AA046613
366057	CDC25A	Hs.1634	AA071514
487087	LOC51141	Hs.7089	AA045308
207107		Hs.117774	H48508
70500	TBX3-iso	Hs.267182	T48941
34616	KIAA0176	Hs.4935	R44371
268778	PRKAR1A	Hs.183037	N25969
214262		Hs.268991	H77818
32309		Hs.9270	R17362
194305		Hs.120946	H50656
127860	TRN2	Hs.278378	R08897
897544	LMNA	Hs.77886	AA489582
884438	NFE2L2	Hs.155396	AA629687
842896	DKFZp762L0311	Hs.16520	AA486418
121270		Hs.14870	T96829
1608910		Hs.298312	AA991355
27098	E2IG4	Hs.8361	R13844
811150	RANGAP1	Hs.183800	AA485734
343744	H1F0	Hs.226117	W69399
809779	KIAA0239	Hs.9729	AA454740
200307		Hs.68647	R96804
244754	PRO0650	Hs.177258	N54333
488033	DNAJB9	Hsp40)	homolog,
856388		Hs.71331	AA774678
484933	LOC56996	Hs.119178	AA037466
856434	AP3D1	Hs.75056	AA630776
840776	SGK	Hs.159640	AA486082
33874	HSPC148	Hs.42743	R23666
827144	MRPL19	Hs.75574	AA521243
809838		NA	NA
1911913		Hs.150325	AI278813
469898		Hs.40527	AA029844
1856923	HSPC145	Hs.18349	AI271431
212704	KIAA0170	Hs.277585	H68789
121798	FLJ11127	Hs.91165	T98200
292391		NA	NA
43977	KIAA0182	Hs.75909	H05099
325150	FLJ23151	Hs.137260	AA284259
773204	AMD1	Hs.262476	AA425692
1569636	FLJ10342	Hs.101514	AA934516
840702	SPS	Hs.124027	AA486372
1034483	KIAA1586	Hs.180663	AA779733
1550739	ICBP90	Hs.108106	AA908902
1637791		Hs.71331	AI002036
196387	ABCC2	Hs.193852	R91502
841332	ARHGDIB	Hs.83656	AA487426
