UpperName	miRGate.name	Accession	Name
HSA-MIR-140-3P	hsa-mir-140-3p	MIMAT0004597	hsa-miR-140-3p
HSA-MIR-1910-5P	hsa-mir-1910-5p	MIMAT0007884	hsa-miR-1910-5p
HSA-MIR-195-5P	hsa-mir-195-5p	MIMAT0000461	hsa-miR-195-5p
HSA-MIR-195-3P	hsa-mir-195-3p	MIMAT0004615	hsa-miR-195-3p
HSA-MIR-497-5P	hsa-mir-497-5p	MIMAT0002820	hsa-miR-497-5p
HSA-MIR-497-3P	hsa-mir-497-3p	MIMAT0004768	hsa-miR-497-3p
HSA-MIR-744-5P	hsa-mir-744-5p	MIMAT0004945	hsa-miR-744-5p
HSA-MIR-744-3P	hsa-mir-744-3p	MIMAT0004946	hsa-miR-744-3p
HSA-MIR-33B-3P	hsa-mir-33b-3p	MIMAT0004811	hsa-miR-33b-3p
HSA-MIR-423-5P	hsa-mir-423-5p	MIMAT0004748	hsa-miR-423-5p
HSA-MIR-193A-5P	hsa-mir-193a-5p	MIMAT0004614	hsa-miR-193a-5p
HSA-MIR-5010-5P	hsa-mir-5010-5p	MIMAT0021043	hsa-miR-5010-5p
HSA-MIR-10A-5P	hsa-mir-10a-5p	MIMAT0000253	hsa-miR-10a-5p
HSA-MIR-3614-5P	hsa-mir-3614-5p	MIMAT0017992	hsa-miR-3614-5p
HSA-MIR-454-5P	hsa-mir-454-5p	MIMAT0003884	hsa-miR-454-5p
HSA-MIR-454-3P	hsa-mir-454-3p	MIMAT0003885	hsa-miR-454-3p
HSA-MIR-548D-3P	hsa-mir-548d-3p	MIMAT0003323	hsa-miR-548d-3p
HSA-MIR-4524A-5P	hsa-mir-4524a-5p	MIMAT0019062	hsa-miR-4524a-5p
HSA-MIR-3065-5P	hsa-mir-3065-5p	MIMAT0015066	hsa-miR-3065-5p
HSA-MIR-3065-3P	hsa-mir-3065-3p	MIMAT0015378	hsa-miR-3065-3p
HSA-MIR-338-3P	hsa-mir-338-3p	MIMAT0000763	hsa-miR-338-3p
HSA-MIR-133A-5P	hsa-mir-133a-5p	MIMAT0026478	hsa-miR-133a-5p
HSA-MIR-27A-5P	hsa-mir-27a-5p	MIMAT0004501	hsa-miR-27a-5p
HSA-MIR-27A-3P	hsa-mir-27a-3p	MIMAT0000084	hsa-miR-27a-3p
HSA-MIR-23A-5P	hsa-mir-23a-5p	MIMAT0004496	hsa-miR-23a-5p
HSA-MIR-181D-5P	hsa-mir-181d-5p	MIMAT0002821	hsa-miR-181d-5p
HSA-MIR-5196-5P	hsa-mir-5196-5p	MIMAT0021128	hsa-miR-5196-5p
HSA-MIR-5196-3P	hsa-mir-5196-3p	MIMAT0021129	hsa-miR-5196-3p
HSA-MIR-330-5P	hsa-mir-330-5p	MIMAT0004693	hsa-miR-330-5p
HSA-MIR-642A-5P	hsa-mir-642a-5p	MIMAT0003312	hsa-miR-642a-5p
HSA-MIR-642A-3P	hsa-mir-642a-3p	MIMAT0020924	hsa-miR-642a-3p
HSA-MIR-769-5P	hsa-mir-769-5p	MIMAT0003886	hsa-miR-769-5p
HSA-MIR-769-3P	hsa-mir-769-3p	MIMAT0003887	hsa-miR-769-3p
HSA-MIR-150-5P	hsa-mir-150-5p	MIMAT0000451	hsa-miR-150-5p
HSA-MIR-150-3P	hsa-mir-150-3p	MIMAT0004610	hsa-miR-150-3p
HSA-MIR-519A-5P	hsa-mir-519a-5p	MIMAT0005452	hsa-miR-519a-5p
HSA-MIR-519A-3P	hsa-mir-519a-3p	MIMAT0002869	hsa-miR-519a-3p
HSA-MIR-128	hsa-mir-128	MIMAT0000424	hsa-miR-128
HSA-MIR-128-1-5P	hsa-mir-128-1-5p	MIMAT0026477	hsa-miR-128-1-5p
HSA-MIR-10B-3P	hsa-mir-10b-3p	MIMAT0004556	hsa-miR-10b-3p
HSA-MIR-561-3P	hsa-mir-561-3p	MIMAT0003225	hsa-miR-561-3p
HSA-MIR-3130-5P	hsa-mir-3130-5p	MIMAT0014995	hsa-miR-3130-5p
HSA-MIR-3130-3P	hsa-mir-3130-3p	MIMAT0014994	hsa-miR-3130-3p
HSA-MIR-3130-5P	hsa-mir-3130-5p	MIMAT0014995	hsa-miR-3130-5p
HSA-MIR-3130-3P	hsa-mir-3130-3p	MIMAT0014994	hsa-miR-3130-3p
HSA-MIR-5001-5P	hsa-mir-5001-5p	MIMAT0021021	hsa-miR-5001-5p
HSA-MIR-5001-3P	hsa-mir-5001-3p	MIMAT0021022	hsa-miR-5001-3p
HSA-MIR-149-5P	hsa-mir-149-5p	MIMAT0000450	hsa-miR-149-5p
HSA-MIR-149-3P	hsa-mir-149-3p	MIMAT0004609	hsa-miR-149-3p
HSA-MIR-103A-2-5P	hsa-mir-103a-2-5p	MIMAT0009196	hsa-miR-103a-2-5p
HSA-MIR-103A-3P	hsa-mir-103a-3p	MIMAT0000101	hsa-miR-103a-3p
HSA-MIR-4755-5P	hsa-mir-4755-5p	MIMAT0019895	hsa-miR-4755-5p
HSA-MIR-4755-3P	hsa-mir-4755-3p	MIMAT0019896	hsa-miR-4755-3p
HSA-MIR-548O-3P	hsa-mir-548o-3p	MIMAT0005919	hsa-miR-548o-3p
HSA-MIR-548O-5P	hsa-mir-548o-5p	MIMAT0022738	hsa-miR-548o-5p
HSA-MIR-296-5P	hsa-mir-296-5p	MIMAT0000690	hsa-miR-296-5p
HSA-MIR-296-3P	hsa-mir-296-3p	MIMAT0004679	hsa-miR-296-3p
HSA-MIR-1	hsa-mir-1	MIMAT0000416	hsa-miR-1
HSA-MIR-133A-5P	hsa-mir-133a-5p	MIMAT0026478	hsa-miR-133a-5p
HSA-MIR-125B-2-3P	hsa-mir-125b-2-3p	MIMAT0004603	hsa-miR-125b-2-3p
HSA-MIR-155-3P	hsa-mir-155-3p	MIMAT0004658	hsa-miR-155-3p
HSA-MIR-185-3P	hsa-mir-185-3p	MIMAT0004611	hsa-miR-185-3p
HSA-MIR-1306-5P	hsa-mir-1306-5p	MIMAT0022726	hsa-miR-1306-5p
HSA-MIR-130B-5P	hsa-mir-130b-5p	MIMAT0004680	hsa-miR-130b-5p
HSA-MIR-130B-3P	hsa-mir-130b-3p	MIMAT0000691	hsa-miR-130b-3p
HSA-MIR-548J-3P	hsa-mir-548j-3p	MIMAT0026737	hsa-miR-548j-3p
HSA-LET-7A-3P	hsa-let-7a-3p	MIMAT0004481	hsa-let-7a-3p
HSA-LET-7B-3P	hsa-let-7b-3p	MIMAT0004482	hsa-let-7b-3p
HSA-MIR-128	hsa-mir-128	MIMAT0000424	hsa-miR-128
HSA-MIR-128-2-5P	hsa-mir-128-2-5p	MIMAT0031095	hsa-miR-128-2-5p
HSA-MIR-26A-5P	hsa-mir-26a-5p	MIMAT0000082	hsa-miR-26a-5p
HSA-MIR-138-5P	hsa-mir-138-5p	MIMAT0000430	hsa-miR-138-5p
HSA-MIR-138-1-3P	hsa-mir-138-1-3p	MIMAT0004607	hsa-miR-138-1-3p
HSA-MIR-4787-5P	hsa-mir-4787-5p	MIMAT0019956	hsa-miR-4787-5p
HSA-MIR-4787-3P	hsa-mir-4787-3p	MIMAT0019957	hsa-miR-4787-3p
HSA-LET-7G-3P	hsa-let-7g-3p	MIMAT0004584	hsa-let-7g-3p
HSA-MIR-135A-5P	hsa-mir-135a-5p	MIMAT0000428	hsa-miR-135a-5p
HSA-MIR-15B-5P	hsa-mir-15b-5p	MIMAT0000417	hsa-miR-15b-5p
HSA-MIR-16-5P	hsa-mir-16-5p	MIMAT0000069	hsa-miR-16-5p
HSA-MIR-551B-5P	hsa-mir-551b-5p	MIMAT0004794	hsa-miR-551b-5p
HSA-MIR-551B-3P	hsa-mir-551b-3p	MIMAT0003233	hsa-miR-551b-3p
HSA-MIR-28-5P	hsa-mir-28-5p	MIMAT0000085	hsa-miR-28-5p
HSA-MIR-28-3P	hsa-mir-28-3p	MIMAT0004502	hsa-miR-28-3p
HSA-MIR-570-3P	hsa-mir-570-3p	MIMAT0003235	hsa-miR-570-3p
HSA-MIR-218-5P	hsa-mir-218-5p	MIMAT0000275	hsa-miR-218-5p
HSA-MIR-574-5P	hsa-mir-574-5p	MIMAT0004795	hsa-miR-574-5p
HSA-MIR-574-3P	hsa-mir-574-3p	MIMAT0003239	hsa-miR-574-3p
HSA-MIR-576-5P	hsa-mir-576-5p	MIMAT0003241	hsa-miR-576-5p
HSA-MIR-576-3P	hsa-mir-576-3p	MIMAT0004796	hsa-miR-576-3p
HSA-MIR-302A-3P	hsa-mir-302a-3p	MIMAT0000684	hsa-miR-302a-3p
HSA-MIR-302C-5P	hsa-mir-302c-5p	MIMAT0000716	hsa-miR-302c-5p
HSA-MIR-302C-3P	hsa-mir-302c-3p	MIMAT0000717	hsa-miR-302c-3p
HSA-MIR-3140-3P	hsa-mir-3140-3p	MIMAT0015008	hsa-miR-3140-3p
HSA-MIR-3140-5P	hsa-mir-3140-5p	MIMAT0019204	hsa-miR-3140-5p
HSA-MIR-579-3P	hsa-mir-579-3p	MIMAT0003244	hsa-miR-579-3p
HSA-MIR-582-3P	hsa-mir-582-3p	MIMAT0004797	hsa-miR-582-3p
HSA-MIR-9-5P	hsa-mir-9-5p	MIMAT0000441	hsa-miR-9-5p
HSA-MIR-874-5P	hsa-mir-874-5p	MIMAT0026718	hsa-miR-874-5p
HSA-MIR-584-3P	hsa-mir-584-3p	MIMAT0022708	hsa-miR-584-3p
HSA-MIR-143-5P	hsa-mir-143-5p	MIMAT0004599	hsa-miR-143-5p
HSA-MIR-143-3P	hsa-mir-143-3p	MIMAT0000435	hsa-miR-143-3p
HSA-MIR-378A-3P	hsa-mir-378a-3p	MIMAT0000732	hsa-miR-378a-3p
HSA-MIR-146A-5P	hsa-mir-146a-5p	MIMAT0000449	hsa-miR-146a-5p
HSA-MIR-146A-3P	hsa-mir-146a-3p	MIMAT0004608	hsa-miR-146a-3p
HSA-MIR-1271-5P	hsa-mir-1271-5p	MIMAT0005796	hsa-miR-1271-5p
HSA-MIR-1271-3P	hsa-mir-1271-3p	MIMAT0022712	hsa-miR-1271-3p
HSA-MIR-219A-1-3P	hsa-mir-219a-1-3p	MIMAT0004567	hsa-miR-219a-1-3p
HSA-MIR-30C-2-3P	hsa-mir-30c-2-3p	MIMAT0004550	hsa-miR-30c-2-3p
HSA-MIR-30A-3P	hsa-mir-30a-3p	MIMAT0000088	hsa-miR-30a-3p
HSA-MIR-3144-5P	hsa-mir-3144-5p	MIMAT0015014	hsa-miR-3144-5p
HSA-MIR-3144-3P	hsa-mir-3144-3p	MIMAT0015015	hsa-miR-3144-3p
HSA-MIR-339-5P	hsa-mir-339-5p	MIMAT0000764	hsa-miR-339-5p
