UpperName	miRGate.name	Accession	Name
HSA-MIR-139-3P	hsa-mir-139-3p	MIMAT0004552	hsa-miR-139-3p
HSA-MIR-142-3P	hsa-mir-142-3p	MIMAT0000434	hsa-miR-142-3p
HSA-MIR-142-5P	hsa-mir-142-5p	MIMAT0000433	hsa-miR-142-5p
HSA-MIR-143-5P	hsa-mir-143-5p	MIMAT0004599	hsa-miR-143-5p
HSA-MIR-1469	hsa-mir-1469	MIMAT0007347	hsa-miR-1469
HSA-MIR-146A-3P	hsa-mir-146a-3p	MIMAT0004608	hsa-miR-146a-3p
HSA-MIR-146B-3P	hsa-mir-146b-3p	MIMAT0004766	hsa-miR-146b-3p
HSA-MIR-1470	hsa-mir-1470	MIMAT0007348	hsa-miR-1470
HSA-MIR-148A-3P	hsa-mir-148a-3p	MIMAT0000243	hsa-miR-148a-3p
HSA-MIR-148B-3P	hsa-mir-148b-3p	MIMAT0000759	hsa-miR-148b-3p
HSA-MIR-149-3P	hsa-mir-149-3p	MIMAT0004609	hsa-miR-149-3p
HSA-MIR-151A-5P	hsa-mir-151a-5p	MIMAT0004697	hsa-miR-151a-5p
HSA-MIR-151B	hsa-mir-151b	MIMAT0010214	hsa-miR-151b
HSA-MIR-152-3P	hsa-mir-152-3p	MIMAT0000438	hsa-miR-152-3p
HSA-MIR-1538	hsa-mir-1538	MIMAT0007400	hsa-miR-1538
HSA-MIR-1587	hsa-mir-1587	MIMAT0019077	hsa-miR-1587
HSA-MIR-15A-5P	hsa-mir-15a-5p	MIMAT0000068	hsa-miR-15a-5p
HSA-MIR-15B-3P	hsa-mir-15b-3p	MIMAT0004586	hsa-miR-15b-3p
HSA-MIR-15B-5P	hsa-mir-15b-5p	MIMAT0000417	hsa-miR-15b-5p
HSA-MIR-16-5P	hsa-mir-16-5p	MIMAT0000069	hsa-miR-16-5p
HSA-MIR-181D-3P	hsa-mir-181d-3p	MIMAT0026608	hsa-miR-181d-3p
HSA-MIR-182-3P	hsa-mir-182-3p	MIMAT0000260	hsa-miR-182-3p
HSA-MIR-1827	hsa-mir-1827	MIMAT0006767	hsa-miR-1827
HSA-MIR-185-3P	hsa-mir-185-3p	MIMAT0004611	hsa-miR-185-3p
HSA-MIR-186-5P	hsa-mir-186-5p	MIMAT0000456	hsa-miR-186-5p
HSA-MIR-188-3P	hsa-mir-188-3p	MIMAT0004613	hsa-miR-188-3p
HSA-MIR-188-5P	hsa-mir-188-5p	MIMAT0000457	hsa-miR-188-5p
HSA-MIR-18A-5P	hsa-mir-18a-5p	MIMAT0000072	hsa-miR-18a-5p
HSA-MIR-18B-3P	hsa-mir-18b-3p	MIMAT0004751	hsa-miR-18b-3p
HSA-MIR-18B-5P	hsa-mir-18b-5p	MIMAT0001412	hsa-miR-18b-5p
HSA-MIR-1908-3P	hsa-mir-1908-3p	MIMAT0026916	hsa-miR-1908-3p
HSA-MIR-1908-5P	hsa-mir-1908-5p	MIMAT0007881	hsa-miR-1908-5p
HSA-MIR-1909-3P	hsa-mir-1909-3p	MIMAT0007883	hsa-miR-1909-3p
HSA-MIR-1909-5P	hsa-mir-1909-5p	MIMAT0007882	hsa-miR-1909-5p
HSA-MIR-190A-3P	hsa-mir-190a-3p	MIMAT0026482	hsa-miR-190a-3p
HSA-MIR-1910-3P	hsa-mir-1910-3p	MIMAT0026917	hsa-miR-1910-3p
HSA-MIR-1912	hsa-mir-1912	MIMAT0007887	hsa-miR-1912
HSA-MIR-1913	hsa-mir-1913	MIMAT0007888	hsa-miR-1913
HSA-MIR-1914-3P	hsa-mir-1914-3p	MIMAT0007890	hsa-miR-1914-3p
HSA-MIR-1914-5P	hsa-mir-1914-5p	MIMAT0007889	hsa-miR-1914-5p
HSA-MIR-1915-3P	hsa-mir-1915-3p	MIMAT0007892	hsa-miR-1915-3p
HSA-MIR-193B-5P	hsa-mir-193b-5p	MIMAT0004767	hsa-miR-193b-5p
HSA-MIR-195-5P	hsa-mir-195-5p	MIMAT0000461	hsa-miR-195-5p
HSA-MIR-1972	hsa-mir-1972	MIMAT0009447	hsa-miR-1972
HSA-MIR-197-5P	hsa-mir-197-5p	MIMAT0022691	hsa-miR-197-5p
HSA-MIR-200A-5P	hsa-mir-200a-5p	MIMAT0001620	hsa-miR-200a-5p
HSA-MIR-202-5P	hsa-mir-202-5p	MIMAT0002810	hsa-miR-202-5p
HSA-MIR-204-5P	hsa-mir-204-5p	MIMAT0000265	hsa-miR-204-5p
HSA-MIR-2053	hsa-mir-2053	MIMAT0009978	hsa-miR-2053
HSA-MIR-205-5P	hsa-mir-205-5p	MIMAT0000266	hsa-miR-205-5p
HSA-MIR-210-3P	hsa-mir-210-3p	MIMAT0000267	hsa-miR-210-3p
